0,1,2,Label,id,indegree
1315396027.0,andreasantor0,203.0,,,
4120890970.0,NoemiDerzsy,46.0,,,
8.304427364026532e+17,MainulSabbir003,212.0,,,
300589072.0,CNicolaides,187.0,,,
2375509748.0,IUNetSci,421.0,,,
144087818.0,zhangqian_rach,64.0,,,
1169143062.0,evepanag,127.0,,,
1965433188.0,NetworkLeaderTA,2.0,,,
305504617.0,VNetworkLabs,118.0,,,
22615177.0,melegaro,40.0,,,
33826996.0,juemos,36.0,,,
3196161958.0,KevinZollman,48.0,,,
8.222400362801111e+17,misinfocon,5.0,,,
567627175.0,hxnx_sam,12.0,,,
1.1281587822639473e+18,NoaPinter,16.0,,,
7.274558505210593e+17,GBerlu,57.0,,,
27048570.0,c_lemp,76.0,,,
258069365.0,eleanorapower,48.0,,,
2749655899.0,ulfaslak,150.0,,,
7.957177759898337e+17,glitch,0.0,,,
532247558.0,IFISC_mallorca,150.0,,,
8.544130003500728e+17,chingjin120,69.0,,,
2459490150.0,netmob2019,107.0,,,
1.140731021517869e+18,NetworkCanvas,42.0,,,
88499773.0,Spiralizing,131.0,,,
1420409148.0,paulhinesuvm,53.0,,,
2919229315.0,TPMWhanau,13.0,,,
326721354.0,KONECTproject,16.0,,,
35031140.0,BasHofstra,213.0,,,
37658556.0,galen_jw,87.0,,,
19590257.0,frankolken,196.0,,,
14065835.0,mstrohm,132.0,,,
41860681.0,dianarycai,11.0,,,
90410110.0,ranzHer,70.0,,,
1.0402193716652728e+18,networks_lab,26.0,,,
17842485.0,tanisjones,77.0,,,
162605310.0,mZargham,85.0,,,
2228815292.0,lewis_math,135.0,,,
611941887.0,hedonometer,6.0,,,
477776093.0,desi_hristova,40.0,,,
36434049.0,robreich,4.0,,,
138523049.0,SFILive,45.0,,,
14923954.0,sfilibrary,13.0,,,
4824029985.0,DataScienceUDD,2.0,,,
7.789544314381599e+17,SophieMeakin,116.0,,,
18928144.0,Living_Cities,0.0,,,
3242942145.0,theandrewsfox,59.0,,,
2911074730.0,B_W_Campbell,23.0,,,
7.053399365144289e+17,thinking_22,82.0,,,
2381150314.0,Faqeeh_ali_,109.0,,,
1187259026.0,fennell_p,209.0,,,
250831420.0,SonicNU,40.0,,,
355774354.0,lynnwu02,14.0,,,
2330499302.0,thesickish,50.0,,,
2165165029.0,ISI_AI,7.0,,,
32807399.0,KristinaLerman,58.0,,,
437797632.0,Vesteur,200.0,,,
1689700388.0,networksvox,14.0,,,
383895664.0,JordiPinero,81.0,,,
9.507880680968315e+17,GrandataLabs,1.0,,,
52188980.0,necsi,193.0,,,
1964709944.0,MscxNetworks,130.0,,,
256652655.0,giaruffo,123.0,,,
1502671567.0,lau_retti,121.0,,,
995412536.0,TAledavood,135.0,,,
423847851.0,UrbanDemog,112.0,,,
8.781918907551908e+17,ArshamGhavasieh,116.0,,,
9.054811819107615e+17,csqsiew,54.0,,,
234017215.0,gdfm7,61.0,,,
472562889.0,timalthoff,87.0,,,
3569432363.0,m_rosvall,45.0,,,
1689492204.0,pocsvox,12.0,,,
2329657867.0,JurgenPfeffer,68.0,,,
804105624.0,sdwfrost,54.0,,,
19330436.0,marcobardoscia,40.0,,,
2548304936.0,eugeValdano,140.0,,,
423024537.0,alerizzo_,195.0,,,
916842583.0,NKouvaris,71.0,,,
107138253.0,grinbergnir,32.0,,,
9949272.0,hukuzatuna,56.0,,,
2353960442.0,brain_stim,16.0,,,
